CamB -8.456764961163534 -8.456764961163534 -8.275724554948106
DDO064 -8.327093066072962 -8.184747882480009 -8.172264687840777
DDO154 -8.460103682489088 -8.31715861469128 -8.31715861469128
DDO161 -8.585076859260509 -8.460338270461857 -8.460338270461857
DDO168 -8.430524258161864 -8.413305063778402 -8.298938962594242
DDO170 -8.112570104272239 -8.02125338132388 -7.980652424461784
ESO079-G014 -9.346038306907642 -9.251422321067949 -8.986819576419686
ESO116-G012 -8.682915104342978 -8.682915104342978 -8.423923824027272
ESO444-G084 -8.684601745893872 -8.684601745893872 -8.574094716923689
ESO563-G021 -9.053930718014428 -8.874537734358718 -8.83567826340379
F565-V2 -9.128039007497263 -9.078466220400905 -8.776469384886816
F568-3 -8.96891119104571 -8.96891119104571 -8.766791640896258
F568-V1 -9.160035420919261 -8.963345062320355 -8.963345062320355
F571-8 -8.626199067725011 -8.390122189139607 -8.27985887838628
F571-V1 -8.688212989725914 -8.551225325548456 -8.53976352772173
F574-1 -8.426821800113213 -8.367747115072701 -8.324098792644026
F583-1 -9.111378270044407 -9.038004114716841 -8.920569765286169
F583-4 -9.036425838461758 -8.988516214737592 -8.988516214737592
IC2574 -7.0537173870395256 -6.6840384742729135 -6.462004084954923
IC4202 -8.04134444119036 -7.932608636677495 -7.896743081546848
KK98-251 -8.690193063677535 -8.534630811558113 -8.462325634650206
NGC0024 -9.021217879422137 -9.004078597506213 -8.705466761777545
NGC0055 -8.740567193897702 -8.67505884326715 -8.476867408271703
NGC0100 -9.321088228671421 -8.87857102183169 -8.87857102183169
NGC0247 -8.779286708872569 -8.740462741569885 -8.56950203278561
NGC0289 -8.64017516798531 -8.62175640019238 -8.478198139329049
NGC0300 -8.754476885827644 -8.655559706243277 -8.455272853025258
NGC0801 -8.007113778690472 -7.943416695305938 -7.88599112274507
NGC0891 -8.767602092000363 -8.767602092000363 -8.421714340447833
NGC1003 -8.806225067478117 -8.681810589043973 -8.606673922771648
NGC1090 -8.892959127709604 -8.66547233231156 -8.66547233231156
NGC2403 -8.430064443528245 -8.430064443528245 -8.261206181958968
NGC2683 -8.298854552821107 -8.126958347456979 -8.126958347456979
NGC2841 -8.133601591727087 -8.12140867174685 -8.014579476582469
NGC2903 -8.353752915951922 -8.314208755295468 -8.234579529423646
NGC2915 -8.732104091304109 -8.637131120801381 -8.637131120801381
NGC2955 -8.348596165274598 -8.209789962967232 -8.183857304379451
NGC2976 -8.389562077679086 -8.264494864701039 -8.247077336917634
NGC2998 -7.107018754927503 -6.920751973291143 -6.599142851000432
NGC3109 -8.581828529201463 -8.508850780376418 -8.444058954822175
NGC3198 -8.027728410549596 -7.977137256921123 -7.934877031378131
NGC3521 -8.467575657480623 -8.425750343066753 -8.299165736298717
NGC3726 -7.972936930547828 -7.891854332583231 -7.891854332583231
NGC3741 -8.419086741537603 -8.404642321486268 -8.26581506978395
NGC3769 -8.071716175966438 -7.893324841840757 -7.893324841840757
NGC3877 -8.07324247320294 -7.898396224690567 -7.898396224690567
NGC3893 -8.100115297271598 -7.920384437238647 -7.920384437238647
NGC3917 -7.026814058158717 -6.472189328118456 -6.2510833781053625
NGC3949 -7.9645411637432755 -7.90591015620643 -7.90591015620643
NGC3953 -6.828812642529369 -6.603245096532224 -6.217919490381597
NGC3972 -7.4377499772739 -7.146463022977027 -6.791832134969982
NGC3992 -8.333227821499428 -8.218655450523913 -8.16354730502568
NGC4010 -7.970419059876473 -7.911918510723405 -7.911918510723405
NGC4013 -7.967102151306286 -7.962135262568536 -7.962135262568536
NGC4051 -7.967541801521811 -7.926769297964849 -7.926769297964849
NGC4068 -8.39142479414024 -8.358226386419046 -8.262990223961097
NGC4085 -7.136072326760141 -6.814322589662091 -6.6285339476183385
NGC4088 -7.205210840251665 -6.876949525926466 -6.671982046457768
NGC4100 -7.0066783135168 -6.848250354958159 -6.4877609777574055
NGC4138 -8.068770288137012 -7.913385179201386 -7.913385179201386
NGC4157 -8.05673385620994 -7.953262111622998 -7.953262111622998
NGC4183 -7.970359101480676 -7.9199728122755175 -7.9199728122755175
NGC4217 -7.117012155895598 -6.765452941075395 -6.465399274789566
NGC4559 -8.256828131449302 -8.148954013688332 -8.128599657035853
NGC5005 -6.328582638874678 -6.212726131015089 -5.763220352031555
NGC5033 -6.6100994282040855 -6.211837352995888 -5.979875427019693
NGC5055 -6.439497817091817 -6.164334600385663 -5.794065393011107
NGC5371 -8.539357220395374 -8.44756370226052 -8.352720664003105
NGC5585 -8.391435448859237 -8.288904535604873 -8.216027954163811
NGC5907 -8.72018298457311 -8.519789924093539 -8.519789924093539
NGC5985 -8.972562590769698 -8.960181598519148 -8.848004355814567
NGC6015 -8.809352343453225 -8.60872529011314 -8.60872529011314
NGC6195 -7.639699893045626 -7.629226371609235 -7.533058119123855
NGC6503 -8.509514343644968 -8.34629430864099 -8.34629430864099
NGC6674 -8.940145312003342 -8.673740996015404 -8.582261614368266
NGC6946 -8.673306038349994 -8.546613659118679 -8.450403116461079
NGC7331 -9.478947557363329 -9.435088927606325 -9.03459239986143
NGC7793 -8.840282322952001 -8.614909822044803 -8.593299959278855
NGC7814 -9.363579200921144 -8.947359754249993 -8.947359754249993
UGC00128 -8.415705041399526 -8.1496781394942 -8.021788429830677
UGC00191 -9.18445402128952 -8.928922215283938 -8.884249097234852
UGC00731 -8.88144694744842 -8.88144694744842 -8.572441776068501
UGC00891 -8.933261679588767 -8.933261679588767 -8.688864678459243
UGC01281 -8.650466580572747 -8.650466580572747 -8.308029197122247
