# Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul
# kpc,km/s,km/s,km/s,km/s,km/s,L/pc^2,L/pc^2
4.51,69.75,4.15,19.36,43.61,0,10.41,0
9.01,97.7,1.63,33.73,40.02,0,2.01,0
13.51,108,0.99,39.28,33.41,0,0.32,0
18.01,107.5,2.32,36.27,28.28,0,0,0
