# Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul
# kpc,km/s,km/s,km/s,km/s,km/s,L/pc^2,L/pc^2
3.5,102,7,0,138.23,0,367.95,0
5.24,125,6.1,0,163.99,0,200.43,0
6.98,145,4.9,8.76,177.95,0,156.27,0
8.72,164,3.9,23.82,182.72,0,66.34,0
10.47,162,4.8,31.14,173.68,0,42.03,0
12.19,160,4.8,37.29,166.41,0,26.8,0
13.94,156,4.8,46.45,159.41,0,15.65,0
16.03,146,4.85,53.13,148.01,0,6.69,0
22.3,158,4.9,48.17,124.21,0,1.41,0
27.52,168,10.6,42.67,109.5,0,0.29,0
30.08,169,10.6,40.52,103.96,0,0.14,0
32.52,167,15.2,39.01,99.53,0,0,0
