# Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul
# kpc,km/s,km/s,km/s,km/s,km/s,L/pc^2,L/pc^2
0.21,16.4,3.3,3.43,15.55,0,132.25,0
0.41,26.2,3.3,6.87,25.1,0,74.94,0
0.62,35.2,3.3,10.25,25.64,0,17.85,0
0.82,44,3.3,12.77,24.3,0,9.49,0
