0.41,33.2,11.6,2.21,28.95,0,455.28,0
0.98,50.4,11.8,4.41,47.6,0,284.5,0
1.78,53.9,9.75,6.75,62.09,0,213.32,0
2.69,67.6,5.1,8.55,75.48,0,152.2,0
3.36,81.7,5.06,9.18,82.21,0,142.61,0
4.39,102,5.35,9.29,86.87,0,105.73,0
5.65,116,6.44,9.5,92.23,0,92.69,0
6.34,132,9.1,10.22,96.19,0,89.82,0
6.89,137,5.25,11.87,100.53,0,87.61,0
8.34,154,4.2,17.23,113.81,0,78.45,0
10.04,163,3.28,24.23,128.72,0,58.05,0
11.65,170,2.41,30.75,133.41,0,39.79,0
13.36,175,2.18,36.2,132.99,0,23.18,0
15.06,177,2.23,39.42,128.51,0,15.89,0
16.67,178,2.03,40.49,124.23,0,10.92,0
