1.74,96.4,12.1,5.73,129.95,70.64,1123.87,0.01
3.5,157,10.5,16.49,217.21,49.8,658.27,0
5.24,192,8.4,21.44,237.63,40.7,352.95,0
6.98,201,6.9,24.35,246.25,35.27,198.18,0
8.72,201,7.3,30.5,251.02,31.55,108.77,0
10.47,194,6.4,41.92,230.73,28.8,29.25,0
12.19,190,6,51.62,208.57,26.69,13.48,0
13.94,186,6.4,50.11,192.8,24.96,7.5,0
15.68,184,6.4,48.39,179.28,23.53,4.2,0
17.42,182,7.3,52.05,169.24,22.32,2.43,0
19.16,181,6.6,50.54,160.07,21.29,0.66,0
20.9,183,6.5,48.06,151.49,20.38,0.54,0
22.65,185,6.5,52.27,145,19.58,0.28,0
24.39,186,9.1,50.33,138.91,18.87,0.07,0
26.13,186,11.4,47.42,133.62,18.23,0.04,0
27.87,184,13.6,44.83,128.95,17.65,0.02,0
29.61,185,13.6,43,124.77,17.12,0,0
