0.32,284,34.7,-3.24,26.79,189.88,1402.59,19827.42
0.63,282,18.8,-2.41,50.47,292.13,1303.47,10165.91
0.95,281,12.6,-0.21,72.14,320.6,1208.5,5354.8
1.26,280,10.6,2.45,90.82,326.59,1123.1,3300.36
1.58,280,10.8,3.54,108.12,325.9,1041.27,2103.94
1.89,279,7.67,4.4,123.29,320.4,967.69,1429.43
2.21,279,11.2,5.23,137.43,313.32,897.18,1006.49
2.52,279,4.45,6.01,149.84,305.5,833.78,748.35
2.84,279,5.03,6.75,161.33,297.22,773.03,612.35
3.15,279,4.26,7.48,171.56,290.7,718.39,534.72
3.47,279,4.14,8.19,181.11,286.88,666.05,422.4
3.79,279,5.73,8.9,189.8,283.42,617.52,288.59
4.1,280,4.52,9.6,197.34,279.37,573.89,189.15
4.42,280,4.86,10.25,204.41,274.03,532.06,95.7
4.73,280,1.59,10.97,210.6,267.5,487.58,49.26
5.05,281,1.85,11.69,215.35,260.4,441.24,24.96
5.36,282,4.81,12.31,218.91,253.49,408.32,12.96
5.68,282,20.3,13.02,222.04,246.69,380.67,6.52
5.99,283,12.8,13.74,224.98,240.45,359.58,3.4
6.31,284,8.08,14.46,228.22,234.35,341.54,1.71
6.62,284,7.81,15.07,231.93,228.92,326.7,0.89
6.94,285,10.4,15.79,235.94,223.68,306.23,0.45
7.57,286,6.82,17.23,242.45,214.14,257.47,0.12
7.89,287,13.4,17.95,243.91,209.75,227.66,0.06
8.2,287,10.5,18.77,244.06,205.73,209.07,0.03
8.31,288,2.93,18.97,244.14,204.35,204.24,0.02
8.52,288,5.58,19.59,244.43,201.86,197.13,0.02
8.83,288,5.74,20.3,245.34,198.26,187.41,0.01
9.15,288,7,21.12,245.9,194.78,171.33,0
9.78,289,12.7,22.56,245.25,188.37,138.98,0
10.1,289,3.89,23.18,244,185.3,127.27,0
11.04,288,5.02,25.23,239.18,177.32,102.81,0
11.36,288,3.39,25.74,237.64,174.8,97.25,0
11.67,288,10.7,26.35,236.26,172.47,92.94,0
13.57,285,4.07,29.02,230.28,159.94,69.68,0
13.88,284,8.92,29.38,229.01,158.15,65.64,0
14.2,284,5.69,29.84,228.03,156.35,61.84,0
16.61,278,9.14,32.61,219.86,144.57,45.35,0
19.35,273,6.1,35.69,212.46,133.94,26.39,0
22.19,269,2.26,39.89,201.82,125.08,19.6,0
24.92,265,1.32,44.61,194.49,118.03,14.04,0
27.66,262,3.15,49.22,187.22,112.03,9.81,0
30.5,257,4.71,51.48,179.93,106.69,6.71,0
33.23,252,4.96,51.89,173.14,102.21,4.38,0
35.96,247,2.58,50.25,166.11,98.25,2.89,0
38.8,242,2.52,48.3,159.33,94.59,1.9,0
41.54,238,2.3,47.17,153.43,91.42,1.28,0
44.27,235,0.63,47.68,147.95,88.55,0.87,0
47.11,236,1.4,49.73,142.73,85.84,0.58,0
49.84,239,2.07,50.56,138.21,83.46,0.39,0
52.58,242,2.63,49.43,133.98,81.25,0.26,0
55.42,245,1.64,49.12,129.96,79.14,0.18,0
58.15,247,1.31,50.56,126.43,77.26,0.12,0
60.89,246,2.14,53.22,123.2,75.51,0.08,0
63.62,243,4,53.84,120.17,73.87,0.05,0
66.46,239,4.67,53.63,117.27,72.27,0.04,0
69.19,234,5.12,53.12,114.7,70.83,0.02,0
71.93,230,2.1,53.02,112.26,69.47,0.02,0
74.77,228,1.32,53.32,109.91,68.14,0.01,0
77.5,228,1.6,54.04,107.81,66.93,0.01,0
80.23,227,3.16,54.66,105.81,65.78,0.01,0
83.07,226,3.48,54.96,103.86,64.64,0,0
85.81,224,3.71,54.86,102.09,63.6,0,0
88.54,222,1.49,54.35,100.4,62.62,0,0
91.38,222,1.18,53.73,98.74,61.64,0,0
94.12,224,1.22,53.22,97.22,60.73,0,0
99.69,227,2.8,52.91,94.34,59.01,0,0
108.31,229,4.12,51.38,90.37,56.61,0,0
