0.77,35.1,3.96,2.22,20.98,133.76,335.17,2678.7
1.59,77.9,3.95,3.89,40.96,176.62,322.39,948.63
2.36,115,6.7,4.02,58.24,176.92,310.83,463.05
3.13,156,3.16,0.9,74.68,172.53,299.69,349.2
3.95,192,3.14,0,91.45,173.49,288.26,188.22
4.73,204,2.9,0,107.35,174.08,276.77,83.53
5.5,209,3.36,0,120.52,167.74,257.54,24.93
6.27,220,3.25,0,132.68,159.21,255.77,7.38
7.08,231,3.49,0,150.86,150.44,254.06,2.06
7.86,235,4.65,0.24,170.8,142.84,239.48,0.6
8.66,245,6,0,187.59,136.33,211.03,0.17
9.45,246,5.57,3.8,199.82,130.53,180.74,0.05
10.24,239,6.95,0,208.12,125.41,151.13,0.01
11.02,240,7.16,3.35,212.98,120.9,124.69,0
11.79,240,4.85,15.63,214.9,116.92,101.97,0
12.47,246,7.68,22.51,214.77,113.67,85.47,0
13.34,241,6.21,30.77,213.03,109.94,69.15,0
14.11,250,5.62,37.16,210.67,106.85,58.36,0
14.59,242,5.1,39.71,209.26,105.08,53,0
14.98,244,7.41,41.88,208.03,103.7,48.81,0
15.75,248,5.08,44.73,205.55,101.13,41.91,0
16.52,249,5.22,46.3,203.07,98.75,35.71,0
17.1,246,6.35,46.79,201.06,97.06,31.62,0
17.88,241,16.2,46.99,198.19,94.92,26.82,0
18.65,247,14.6,47.18,195.23,92.94,22.81,0
19.62,234,20.9,47.77,191.47,90.61,18.65,0
20.78,249,10,51.51,186.83,88.05,14.6,0
22.13,236,16.1,57.31,181.4,85.32,10.95,0
23,245,22.1,59.87,177.88,83.69,9.17,0
23.58,243,4.2,61.24,175.64,82.65,8.14,0
25.03,238,7.76,61.05,170.07,80.22,6.11,0
25.9,247,6.14,60.16,166.98,78.87,5.18,0
