0.92,234,12,-5.19,121.44,254.98,2850.07,1353.62
2.32,192,12,-10.42,280.89,185.98,1970.54,19.18
3.24,212,6.3,-11.44,325.09,158.37,904.93,1.73
4.17,223,4.41,-11.64,311.44,139.66,398.34,0.15
5.1,222,4.01,-11.54,293.95,126.35,271.63,0.01
6.03,224,3.85,-11.44,280.55,116.3,183.28,0
6.96,224,3.23,-9.02,271.7,108.06,131.67,0
7.89,226,3.4,6.44,260.33,101.6,102.27,0
8.8,226,3.21,16.24,254.4,96.17,60.87,0
9.73,227,2.75,25.64,241.26,91.46,35.23,0
10.64,227,2.65,32.27,231.49,87.46,35.29,0
11.58,224,2.35,35.44,224.36,83.84,17.47,0
12.52,220,2.43,42.18,213.5,80.63,15.2,0
13.46,218,2.3,46.37,208,77.76,12.53,0
14.4,217,2.77,49.33,200.84,75.18,6.77,0
15.33,216,4.43,49.33,193.84,72.86,4.92,0
16.27,210,4.47,47.29,188.07,70.73,3.39,0
17.11,208,4.35,45.04,182.56,68.97,0,0
