0.16,160,36,-1.22,8.07,119.49,516.57,16013.38
0.32,177,30.9,-1.2,15.74,184.15,504.88,8275.13
0.49,180,25.3,-1.08,23.42,201.67,492.74,4561.05
0.65,180,32,-0.96,30.3,207.64,481.58,2982.73
1.3,182,4.72,-0.33,55.43,203.18,438.8,756.43
1.46,183,10.8,0.44,61.06,200.04,428.86,576.9
1.62,184,7.43,0.74,66.51,196.81,419.15,433.08
3.72,206,8.42,4.94,126.3,147.67,305.74,0.87
3.89,207,4.54,5.38,130.52,144.55,297.38,0.48
4.05,209,5.36,5.86,134.47,141.56,291.65,0.28
4.22,210,2.43,6.37,138.94,138.76,286.76,0.16
4.26,210,4.6,6.53,140.05,138.12,285.57,0.13
4.38,211,2.8,6.92,143.43,136.21,282.2,0.09
4.54,213,2.18,7.46,148.24,133.79,278.12,0.05
4.71,214,7.61,7.98,153.86,131.35,269.69,0.03
4.86,215,4.7,8.49,158.53,129.31,255.82,0.02
5.02,215,2.34,9,162.82,127.24,236.68,0.01
5.18,216,2.95,9.51,166.08,125.27,217.59,0.01
5.35,217,4.48,10.02,168.84,123.26,198.81,0
5.51,217,3.99,10.53,170.67,121.46,180.68,0
5.68,218,5.14,11.06,171.8,119.61,163.83,0
5.84,218,2.51,11.59,172.47,117.97,151.85,0
6,219,3.95,12.13,172.94,116.4,142.07,0
6.15,219,7.84,12.55,173.44,114.95,134.81,0
6.48,219,7.74,13.72,174.41,111.99,115.63,0
6.64,219,6.69,14.25,174.58,110.63,107,0
6.81,220,6.26,14.68,174.53,109.24,98.11,0
7.1,220,2.52,15.64,174.07,106.99,82.68,0
7.13,220,11.4,15.74,173.95,106.76,81.11,0
8.52,220,2.93,20.1,162.17,97.67,42.84,0
10.66,225,1.79,25.95,149.89,87.32,25.13,0
11.99,228,5.71,28.72,144.35,82.33,18.64,0
12.1,228,9.96,29.04,143.9,81.96,18.15,0
12.33,228,8.24,29.36,143.03,81.19,17.16,0
12.78,229,1.74,30.21,141.37,79.75,15.35,0
14.93,228,1.64,33.5,133.3,73.78,8.44,0
17.08,226,1.34,35.21,125.19,68.98,4.75,0
19.23,226,1.39,35.84,117.76,65.01,2.4,0
21.27,227,1.11,35.52,111,61.81,1.83,0
23.42,227,1.37,34.46,106.04,58.91,1.1,0
25.57,224,2.79,32.87,101.01,56.38,0.42,0
27.72,218,9.41,31.59,96.03,54.15,0.24,0
29.87,215,8.18,30.53,91.96,52.16,0.13,0
32.02,219,5.06,29.67,88.37,50.38,0.07,0
34.05,211,7.05,29.04,85.42,48.86,0,0
