CamB	0.0654738863654	2.31712286442e+19
DDO064	0.0680031224896	3.24011130771e+19
DDO154	0.0925118148209	1.32809143467e+19
DDO161	0.087917908216	4.41475566394e+19
DDO168	0.0499893196033	3.73639998099e+19
DDO170	0.0425553334059	6.25486248677e+19
ESO079-G014	0.506262697187	1.97680758002e+20
ESO116-G012	0.505386163715	5.18394880503e+19
ESO444-G084	0.0843306030142	1.6046441384e+19
ESO563-G021	2.10349741079	2.21092882781e+20
F565-V2	0.0300411190366	8.31032175692e+19
F568-3	0.128117845409	1.36633296501e+20
F568-V1	0.152665864457	8.72139343097e+19
F571-8	1.82284147452	3.88182090994e+19
F571-V1	0.0890448801318	8.20966105523e+19
F574-1	0.15469509321	1.05898051387e+20
F583-1	0.0534222366817	7.54800155203e+19
F583-4	0.137762426585	6.89203758889e+19
IC2574	0.0367701766707	1.12646365609e+20
IC4202	1.85679362039	1.50971470647e+20
KK98-251	0.018277858778	6.05295886725e+19
NGC0024	0.694433587566	4.300746984e+19
NGC0055	0.111745339053	1.10468948242e+20
NGC0100	0.309025110696	5.65451269027e+19
NGC0247	0.145314501057	1.27857196136e+20
NGC0289	1.4614484249	1.24131089106e+20
NGC0300	0.277484118923	5.72726205239e+19
NGC0801	6.98228527405	1.0625773293e+20
NGC0891	8.7395611955	6.42014906115e+19
NGC1003	0.656072727616	5.69759516204e+19
NGC1090	1.69481042734	1.14225109782e+20
NGC2403	1.59401575745	4.35501408237e+19
NGC2683	4.24835575268	7.40307667615e+19
NGC2841	2.46975356266	1.36889058863e+20
NGC2903	11.3723851892	4.60944863801e+19
NGC2915	1.33885620462	1.19385732549e+19
NGC2955	1.05869362742	2.81917698591e+20
NGC2976	0.863506099503	7.20595572581e+19
NGC2998	2.58493304637	1.30496826951e+20
NGC3109	0.0294274213288	4.64433979897e+19
NGC3198	1.0533829664	1.05712465915e+20
NGC3521	12.5952947494	4.18875049832e+19
NGC3726	1.63242536937	1.16747898351e+20
NGC3741	0.161277717258	7.24923046611e+18
NGC3769	2.559800421	4.61086128519e+19
NGC3877	1.67541244147	1.39471925866e+20
NGC3893	5.60990627524	5.50758693846e+19
NGC3917	0.497599063587	1.33677387029e+20
NGC3949	3.87943949384	5.47286988645e+19
NGC3953	2.85382097606	1.30213954542e+20
NGC3972	0.622128379884	9.70364622753e+19
NGC3992	1.78316705047	2.01282408126e+20
NGC4010	0.667180873383	9.18722427453e+19
NGC4013	3.29520024449	7.86562697117e+19
NGC4051	2.20671194073	9.63759968346e+19
NGC4068	0.118535476276	2.89460792087e+19
NGC4085	2.65241593435	5.41795259019e+19
NGC4088	3.43824495734	1.01219006276e+20
NGC4100	2.05915966866	9.67305552603e+19
NGC4138	5.39498951428	4.5001725091e+19
NGC4157	4.97466306495	8.05798329788e+19
NGC4183	0.346096695862	1.0022574778e+20
NGC4217	0.913616252259	7.50523844662e+19
NGC4559	1.1310611272	7.3050980474e+19
NGC5005	2.01732524861	1.96252017049e+20
NGC5033	4.66502526379	7.14739063625e+19
NGC5055	7.93130247716	7.18577141476e+19
NGC5371	3.35245804031	1.75712517097e+20
NGC5585	0.574288626442	3.93568824816e+19
NGC5907	1.81963461273	1.73711529887e+20
NGC5985	1.12397900401	2.50956493851e+20
NGC6015	1.59425995639	7.95441371715e+19
NGC6195	1.21452602108	2.68452943602e+20
NGC6503	2.77475577451	3.74246620105e+19
NGC6674	1.8348844163	1.82720135219e+20
NGC6946	2.85382146857	8.26064598736e+19
NGC7331	10.3118391538	8.1767506366e+19
NGC7793	1.50311471036	3.75634615536e+19
NGC7814	1.08721877297	8.29186017333e+19
UGC00128	0.126417194531	1.70244969485e+20
UGC00191	0.229608396426	5.14762015955e+19
UGC00731	0.0172486844546	7.94639212499e+19
UGC00891	0.0590747983791	4.41220978028e+19
UGC01281	0.0545748809252	4.47683469617e+19
UGC02259	0.180863800081	5.65628593859e+19
UGC02487	1.91819117051	2.49438205082e+20
UGC02885	1.65941775307	2.50363605536e+20
UGC02916	0.40210999494	2.05350132744e+20
UGC02953	5.09542951936	1.18375630287e+20
UGC03205	1.85199332814	1.32605079537e+20
UGC03546	4.28652413408	7.05524312168e+19
UGC03580	1.05553171543	5.25001997428e+19
UGC04278	0.130425522547	5.94463077942e+19
UGC04325	0.224695184589	6.45381668802e+19
UGC04483	0.0862138306246	6.81482449281e+18
UGC04499	0.201934445852	4.79140107313e+19
UGC05005	0.11440388944	1.06269129731e+20
UGC05253	1.34163735917	1.51048310653e+20
UGC05414	0.159410755369	4.55966289504e+19
UGC05716	0.123190520241	3.81860046796e+19
UGC05721	0.998135191742	1.26749856066e+19
UGC05750	0.0539294436339	1.5902151147e+20
UGC05764	0.0313579822971	2.81445037719e+19
UGC05829	0.0397006339031	7.01204254232e+19
UGC05918	0.031051621391	5.89845794943e+19
UGC05986	0.516054347659	5.55814579724e+19
UGC06399	0.159186162916	7.50141229392e+19
UGC06446	0.171538006243	4.13070231201e+19
UGC06614	0.278622331016	2.67996057542e+20
UGC06667	0.128459561808	2.815476782e+19
UGC06786	1.48000388252	1.10389874079e+20
UGC06787	1.05879844671	1.19042711903e+20
UGC06818	0.236535891526	4.62550614425e+19
UGC06917	0.37530556173	7.39627034989e+19
UGC06923	0.623932329333	3.5062130587e+19
UGC06930	0.308407988009	9.58407753308e+19
UGC06983	0.402015939622	6.23552140069e+19
UGC07089	0.182885078892	8.30429242398e+19
UGC07125	0.127583562018	8.04933109274e+19
UGC07151	0.376969114488	4.15797327961e+19
UGC07261	0.352822243848	4.11101500248e+19
