CamB	1.4969749861710217e+19
DDO064	4.457810221927657e+19
DDO154	5.7085035254155985e+19
DDO161	1.033263335710475e+20
DDO168	4.975043481066508e+19
DDO170	9.538547394940748e+19
ESO079-G014	2.4698886066656936e+20
ESO116-G012	1.032086963654001e+20
ESO444-G084	2.8494023481639993e+19
ESO563-G021	6.640844943246742e+20
F565-V2	1.0771525771698461e+20
F568-3	2.4142009761410348e+20
F568-V1	2.48515483544362e+20
F571-8	4.7240731147934676e+20
F571-V1	1.2969812247847135e+20
F574-1	3.347879631034835e+20
F583-1	2.229569373752129e+20
F583-4	1.9608452967215894e+20
IC2574	1.706654515372978e+20
IC4202	3.992952526151231e+20
KK98-251	3.4294820489689317e+19
NGC0024	9.694585767108313e+19
NGC0055	8.626854643988062e+19
NGC0100	2.5611123924837545e+20
NGC0247	1.5557546754674308e+20
NGC0289	5.40253486844972e+20
NGC0300	1.3470423577509003e+20
NGC0801	5.2853024063196345e+20
NGC0891	2.335980468992515e+20
NGC1003	2.4839704529511118e+20
NGC1090	3.6162506272541285e+20
NGC2403	1.5822752323630128e+20
NGC2683	1.7666510391813502e+20
NGC2841	3.125961186540935e+20
NGC2903	1.7627335342899993e+20
NGC2915	8.485613348590754e+19
NGC2955	4.502521975003967e+20
NGC2976	2.8124348586804974e+19
NGC2998	4.8963599412707354e+20
NGC3109	9.620154633144933e+19
NGC3198	4.4272244124917006e+20
NGC3521	2.438104411522738e+20
NGC3726	2.7393722703097997e+20
NGC3741	3.0856775813057286e+19
NGC3769	2.5264661219062514e+20
NGC3877	1.5385471828552532e+20
NGC3893	1.970041570982022e+20
NGC3917	1.870999192654898e+20
NGC3949	1.3916381985474136e+20
NGC3953	2.6710128528579517e+20
NGC3972	1.3086581633450084e+20
NGC3992	5.5947361157057164e+20
NGC4010	1.7962797623522447e+20
NGC4013	2.3122640434507304e+20
NGC4051	2.0439297639534874e+20
NGC4068	4.023641036827403e+19
NGC4085	1.3763479256224752e+20
NGC4088	2.2936489595368112e+20
NGC4100	2.2080453986033592e+20
NGC4138	1.9439080048343495e+20
NGC4157	2.5283121452665556e+20
NGC4183	1.8482347925812475e+20
NGC4217	1.9272867967398596e+20
NGC4559	2.3358527093387182e+20
NGC5005	2.915965314333915e+19
NGC5033	3.513040755352651e+20
NGC5055	4.299360351724598e+20
NGC5371	3.7683343621674625e+20
NGC5585	1.4666894056380863e+20
NGC5907	4.9855812635173565e+20
NGC5985	5.415890308611369e+20
NGC6015	2.350513792420343e+20
NGC6195	4.052762727050454e+20
NGC6503	1.8047455595795202e+20
NGC6674	9.3187462955433e+20
NGC6946	2.5421591026701363e+20
NGC7331	3.072299186954632e+20
NGC7793	7.805344150967729e+19
NGC7814	2.3949275327351813e+20
UGC00128	3.9367165428296974e+20
UGC00191	1.1817415310007296e+20
UGC00731	1.4658481411875963e+20
UGC00891	6.818335538403479e+19
UGC01281	7.333800578719187e+19
UGC02259	7.907689390093166e+19
UGC02487	8.192672577813992e+20
UGC02885	7.003825997348679e+20
UGC02916	4.459977877942027e+20
UGC02953	5.336324007397126e+20
UGC03205	4.128611986359754e+20
UGC03546	2.6983703544182014e+20
UGC03580	2.440724853251547e+20
UGC04278	1.355632478140164e+20
UGC04325	7.51025700673513e+19
UGC04483	1.687696253783334e+19
UGC04499	1.011601945992501e+20
UGC05005	2.4604543382839548e+20
UGC05253	6.069306641570819e+20
UGC05414	7.696899593926669e+19
UGC05716	1.2626491752047949e+20
UGC05721	5.862787404480884e+19
UGC05750	1.8288661316481017e+20
UGC05764	3.698225540428733e+19
UGC05829	1.0452355398609175e+20
UGC05918	9.809476210820973e+19
UGC05986	2.148778448090913e+20
UGC06399	1.070512306185243e+20
UGC06446	1.2176492827328229e+20
UGC06614	7.868477832329609e+20
UGC06667	1.1379757483266364e+20
UGC06786	3.623265166831586e+20
UGC06787	4.114027623626783e+20
UGC06818	1.760567206011781e+20
UGC06917	1.7601655872837016e+20
UGC06923	7.736550666186583e+19
UGC06930	1.8548812113804925e+20
UGC06983	1.8474334878596494e+20
UGC07089	1.49421091957159e+20
UGC07125	2.735580908042251e+20
UGC07151	8.0358075066059e+19
UGC07261	1.5655985173195388e+20
UGC07323	1.0205862578706727e+20
UGC07399	9.132343215350232e+19
UGC07524	1.6414805660416603e+20
UGC07559	5.379465597191158e+19
UGC07577	3.9186130665306235e+19
UGC07603	5.980084624274752e+19
UGC07690	5.992437006139566e+19
UGC07866	4.770368920913495e+19
UGC08286	9.639931907730773e+19
UGC08490	8.59335057734743e+19
UGC08550	6.942774557937889e+19
UGC08699	2.5466088603002598e+20
UGC08837	6.702448068202308e+19
UGC09037	3.603686127646331e+20
UGC09133	8.339375104930993e+20
UGC09992	7.133386662480514e+19
UGC10310	1.209220108420837e+20
UGC11455	5.117040014173148e+20
UGC11557	2.1497829211202916e+20
UGC11820	1.4611967530500342e+20
UGC11914	1.6516366939641047e+20
UGC12506	5.916465946422123e+20
UGC12632	1.7815909828961164e+20
UGC12732	2.421066396151527e+20
UGCA442	4.233237237475984e+19
UGCA444	2.238398995739958e+19
